 020
 001,1937.89,1710.25,1710.25,159.00,301.00,709.00,1856.00,-3.00, 000
 002,4015.00,2535.79,2535.79,299.00,1810.00,221.00,-171.00,1804.00, 001
 003,3031.06,2554.48,2554.48,219.00,97.00,-468.00,-2109.00,-1756.00, 000
 004,1824.36,1807.72,1808.59,139.00,1960.00,-1177.00,161.00,-1363.00, 000
 005,4696.86,3015.89,3015.89,359.00,-653.00,352.00,2360.00,220.00, 000
 006,3249.24,3004.16,3004.16,239.00,1834.00,2135.00,-1170.00,2166.00, 000
 007,2361.19,2258.75,2258.75,169.00,-1135.00,-2051.00,1118.00,-1890.00, 001
 008,4084.30,2685.07,2685.07,308.00,-891.00,151.00,-2367.00,-2092.00, 000
 009,2685.87,2521.46,2521.46,199.00,-799.00,-433.00,925.00,-2273.00, 000
 010,4136.30,2174.94,2174.94,309.00,1893.00,-16.00,-189.00,-645.00, 000
 011,3483.47,2945.18,2945.18,259.00,2110.00,94.00,-63.00,2082.00, 000
 012,2370.04,2292.74,2292.74,177.00,-275.00,343.00,-1768.00,2083.00, 000
 013,5512.07,3285.80,3285.80,409.00,2143.00,-2371.00,1239.00,788.00, 000
 014,4926.85,4324.32,4324.32,359.00,-223.00,1662.00,1970.00,-2065.00, 000
 015,2915.66,2911.44,2911.44,209.00,-1879.00,1695.00,965.00,2318.00, 000
 016,5876.83,5447.12,5447.12,429.00,2251.00,-1066.00,-2085.00,2231.00, 000
 017,5844.96,3311.50,3311.50,439.00,2396.00,-714.00,-500.00,892.00, 000
 018,2575.23,1253.68,1254.58,189.00,-1920.00,72.00,-1405.00,1216.00, 001
 019,2494.71,1285.97,1285.97,179.00,-574.00,596.00,-1044.00,-601.00, 000
 020,4901.93,2290.76,2290.76,359.00,-1597.00,-866.00,588.00,-178.00, 000
 021,2628.77,1600.75,1600.75,189.00,-637.00,1652.00,948.00,1428.00, 000
 022,6508.99,4765.34,4765.34,479.00,2212.00,-1284.00,-2247.00,397.00, 001
 023,3613.91,3293.46,3293.46,269.00,-2272.00,-883.00,118.00,1383.00, 000
 024,5154.17,4201.79,4201.79,399.00,-1142.00,1739.00,163.00,-2255.00, 000
 025,5310.11,4644.08,4644.08,399.00,-1545.00,-1082.00,1612.00,2324.00, 001
 026,5091.27,4054.60,4054.60,369.00,-1774.00,-450.00,2189.00,-1307.00, 000
 027,2033.13,1973.18,1973.18,149.00,-350.00,-68.00,-1655.00,-1548.00, 000
 028,3061.14,2511.55,2511.55,229.00,-62.00,-166.00,-1279.00,-2363.00, 000
 029,1637.94,1632.09,1632.09,129.00,-1082.00,228.00,-2339.00,1269.00, 000
 030,4099.85,1894.60,1894.60,319.00,715.00,1123.00,-344.00,-448.00, 000
 031,3625.86,1599.98,1599.98,279.00,-1396.00,242.00,165.00,-109.00, 000
 032,3083.85,3048.00,3048.00,229.00,-1092.00,2064.00,1881.00,1392.00, 000
 033,3080.74,3053.39,3053.39,229.00,-1995.00,-1860.00,-1903.00,1192.00, 000
 034,3074.20,2134.42,2134.42,229.00,-1113.00,1390.00,821.00,487.00, 001
 035,3962.78,2316.62,2316.62,289.00,-2336.00,-504.00,-82.00,31.00, 000
 036,4916.94,2024.78,2024.78,379.00,1856.00,1537.00,92.00,543.00, 001
 037,4882.85,3502.42,3502.42,369.00,997.00,-1586.00,-931.00,1338.00, 000
 038,5261.43,4515.58,4515.58,389.00,2351.00,-2184.00,-1226.00,572.00, 000
 039,4173.95,3101.26,3101.26,329.00,875.00,-1012.00,-2146.00,-311.00, 000
 040,2110.06,1872.09,1872.09,159.00,-2242.00,2277.00,-497.00,1599.00, 000
 041,1977.64,1604.43,1604.43,149.00,-2104.00,187.00,-1413.00,1635.00, 000
 042,4775.19,2643.96,2644.50,349.00,1443.00,-1494.00,-1140.00,-927.00, 000
 043,3627.25,1327.51,1327.51,269.00,336.00,-1881.00,-386.00,-767.00, 000
 044,6941.84,5676.10,5676.10,509.00,-1897.00,2383.00,1931.00,-1808.00, 001
 045,4374.30,3230.10,3230.10,329.00,-1533.00,456.00,1490.00,-682.00, 000
 046,5010.11,4631.23,4631.23,389.00,627.00,2367.00,2219.00,-1982.00, 000
 047,2992.43,2809.34,2809.34,219.00,-751.00,-6.00,1984.00,636.00, 000
 048,4648.63,2296.45,2296.45,347.00,-414.00,1378.00,1261.00,-193.00, 000
 049,7090.00,3348.97,3348.97,529.00,1522.00,1893.00,841.00,-1386.00, 001
 050,2594.02,1994.32,1994.32,189.00,467.00,-526.00,-579.00,1172.00, 000
 051,4656.23,2255.86,2255.86,348.00,1747.00,1313.00,278.00,-399.00, 001
 052,2476.35,1319.31,1319.31,185.00,-216.00,-1456.00,1002.00,-949.00, 000
 053,1793.16,1276.25,1276.25,129.00,2229.00,347.00,1699.00,1508.00, 000
 054,2109.19,1302.60,1302.60,168.00,-1985.00,746.00,-1202.00,-295.00, 001
 055,3830.27,3440.81,3440.81,289.00,2155.00,-2092.00,-1199.00,-1324.00, 001
 056,3705.48,2374.07,2374.07,289.00,-1381.00,-1556.00,780.00,-573.00, 000
 057,4727.21,3136.89,3136.89,359.00,705.00,-2162.00,596.00,973.00, 000
 058,3350.34,3301.34,3301.34,259.00,1731.00,-1948.00,-1569.00,-2042.00, 001
 059,1786.81,1462.85,1462.85,129.00,-298.00,1020.00,-1452.00,121.00, 000
 060,2960.78,1277.10,1277.10,229.00,-1669.00,168.00,-798.00,1102.00, 000
 061,5230.94,2928.51,2928.51,389.00,-1347.00,-196.00,1453.00,662.00, 001
 062,5666.21,3852.69,3852.69,419.00,-252.00,-709.00,2359.00,2124.00, 000
 063,4420.77,3394.02,3394.02,329.00,921.00,1007.00,-1952.00,-800.00, 000
 064,1666.34,1641.62,1641.62,119.00,1077.00,50.00,1186.00,-1588.00, 000
 065,1980.15,1286.34,1286.34,149.00,-749.00,1215.00,-2009.00,956.00, 001
 066,4535.90,4309.02,4309.80,339.00,1981.00,828.00,-1792.00,-1255.00, 001
 067,4621.78,3443.75,3443.75,349.00,-1728.00,-1274.00,806.00,1058.00, 000
 068,1918.33,1896.29,1896.29,139.00,1273.00,-1039.00,2257.00,582.00, 000
 069,3096.27,1496.11,1496.11,239.00,888.00,-674.00,-298.00,-1586.00, 000
